,Name,PSRJ,RAJ,DECJ,POSEPOCH,F0,F1,F2,PEPOCH,DM,DIST,W50,W10,S400,S1400,SPINDX,PSRTYPE,NGLT
2057,B1902-01,J1905-0056,19:05:27.7,-00:56:40.9,49721.00,1.554772,-7.377e-15,-1.960e-26,49721.00,229.13,6.91,6.200,15.000,9.80,0.92,-2.00,*,*
2058,J1905+0154A,J1905+0154A,19:05:15.4,+01:54:33,*,313.190897,*,*,*,193.69,14.45,0.510,*,*,0.02,*,*,*
2059,J1905+0400,J1905+0400,19:05:28.2,+04:00:10.8,53700.00,264.242346,-3.425e-16,*,53700.00,25.69,1.33,0.590,*,*,0.05,*,*,*
2060,J1905+0600,J1905+0600,19:05:04.3,+06:00:59.9,52048.00,2.266496,-5.714e-15,*,52048.00,730.10,18.06,13.000,*,*,0.42,*,*,*
2061,J1905+0616,J1905+0616,19:05:06.8,+06:16:16.7,51631.00,1.010401,-1.381e-13,*,51631.00,256.05,5.24,21.000,46.000,0.50,0.51,-0.88,*,*
2062,B1903+07,J1905+0709,19:05:53.6,+07:09:19.4,49466.00,1.543114,-1.177e-14,6.700e-25,49466.00,245.34,4.98,39.000,*,*,1.80,-1.57,*,*
2063,J1905+0902,J1905+0902,19:05:19.5,+09:02:32.4,54570.00,4.581840,-7.345e-14,*,54570.00,433.40,9.14,3.900,*,*,0.10,*,*,*
2064,J1906+0055,J1906+0055,19:06,+00:55,*,358.422939,*,*,*,126.90,3.30,*,*,*,0.12,*,*,*
2065,J1906+0414,J1906+0414,19:06:57.7,+04:14:29.4,53677.00,0.958440,-1.053e-14,*,53677.00,349.00,9.21,22.000,*,*,0.23,*,*,*
2066,B1904+06,J1906+0641,19:06:35.2,+06:41:02.9,49613.00,3.741465,-2.990e-14,-6.800e-27,49613.00,472.80,7.00,18.000,*,2.80,1.70,-0.94,*,*
2067,J1906+0649,J1906+0649,19:06:11.9,+06:49:48.1,52317.00,0.777264,-9.200e-17,*,52317.00,249.00,5.07,37.000,*,*,0.30,*,*,*
2068,J1906+0722,J1906+0722,19:06:31.2,+07:22:55.8,55716.00,8.966669,-2.885e-12,3.180e-23,55716.00,*,*,*,*,*,*,*,NRAD,1
2069,J1906+0725,J1906+0725,19:06,+07:25,*,0.650826,*,*,*,480.40,9.17,*,*,*,0.05,*,*,*
2070,J1906+0746,J1906+0746,19:06:48.8,+07:46:25.9,54289.00,6.940918,-9.764e-13,5.000e-23,54289.00,217.75,7.40,0.600,1.700,0.90,0.55,*,*,*
2071,J1906+0912,J1906+0912,19:06:28.4,+09:12:56.6,51360.00,1.289749,-2.200e-16,*,51360.00,265.00,5.63,16.700,*,*,0.32,*,*,*
2072,J1906+1854,J1906+1854,19:06:44.7,+18:54:08.5,49079.50,0.981265,-1.978e-16,*,49079.50,156.72,11.06,64.000,93.000,4.60,*,*,*,*
2073,J1907+0249,J1907+0249,19:07:42.0,+02:49:41,52554.00,2.841882,-9.170e-15,*,52554.00,261.00,7.49,21.700,32.040,*,0.46,*,*,*
2074,J1907+0256,J1907+0256,19:07,+02:56,*,1.616109,*,*,*,250.40,6.68,*,*,*,0.19,*,*,*
2075,J1907+0345,J1907+0345,19:07:14.5,+03:45:10.6,51999.00,4.164008,-1.426e-13,*,51999.00,311.70,8.62,6.300,*,*,0.17,*,*,*
2076,J1907+05,J1907+05,19:07,+05:00,*,5.928385,*,*,*,456.70,11.03,*,*,*,*,*,*,*
2077,J1907+0534,J1907+0534,19:07:23.3,+05:34:53,51719.00,0.878424,-2.430e-15,*,51719.00,524.00,11.94,8.900,*,*,0.36,*,*,*
2078,J1907+0602,J1907+0602,19:07:54.7,+06:02:16.9,54935.00,9.377982,-7.636e-12,1.880e-22,54935.00,82.10,3.01,*,*,*,0.00,*,HE,*
2079,J1907+0731,J1907+0731,19:07:54.7,+07:31:21.9,52352.00,2.749698,-1.392e-13,*,52352.00,239.80,4.89,11.000,*,*,0.35,*,*,*
2080,J1907+0740,J1907+0740,19:07:44.1,+07:40:22.6,51354.00,1.740044,-2.033e-15,*,51354.00,332.00,6.84,13.200,23.000,*,0.41,*,*,*
